id,name,short_name,organizer,organizer_url,edition_url,areas,tags,start_date,end_date,format,city,region_name,country,venue,lat,lon,description,deadlines,confidence,notes,sources
apna-annual-2026,APNA 40th Annual Conference 2026,APNA 2026,American Psychiatric Nurses Association,https://www.apna.org,https://www.apna.org/apna-annual-conference/,psychiatry; nursing,general-psychiatry; nursing; education,2026-10-28,2026-10-31,hybrid,Phoenix,Arizona,US,Phoenix Convention Center,33.4484,-112.0705,"The American Psychiatric Nurses Association holds its 40th annual conference for psychiatric mental health nurses in Phoenix, Arizona. The event offers in person attendance plus a virtual livestream option and on demand session recordings.",Abstract submission = 2026-03-02; Early registration = 2026-09-14,high,,https://www.apna.org/apna-annual-conference/
aapl-annual-2026,AAPL 57th Annual Meeting 2026,AAPL 2026,American Academy of Psychiatry and the Law,https://aapl.org/,https://aapl.org/57th-annual-meeting/,psychiatry,forensic; general-psychiatry,2026-10-29,2026-11-01,in-person,Tampa,Florida,US,Tampa Marriott Water Street,27.9434,-82.4522,"The 57th annual meeting of the American Academy of Psychiatry and the Law, the main United States forensic psychiatry meeting, accredited for a maximum of 31.75 AMA PRA Category 1 credits. The Forensic Psychiatry Review Course is held in the days immediately before the meeting.",,medium,"aapl.org and psychiatryonline.org are behind bot protection; all AAPL data comes from search engine snippets of official pages. The combined span October 26 to November 1 suggests the review course runs October 26 to 28 (Monday to Wednesday), matching the 2025 pattern (Boston, October 27 to November 2, 2025 combined, meeting October 30 to November 2). The 2025 prior edition dates are inferred from that span and should be verified. Registration deadlines unknown.",https://aapl.org/57th-annual-meeting/; https://aapl.org/annual-meeting/; https://www.academicjobs.com/conferences/4819
congress-neurological-surgeons-2026,76th Congress of Neurological Surgeons Annual Meeting,CNS Neurosurgery 2026,Congress of Neurological Surgeons,https://www.cns.org,https://www.cns.org/annualmeeting,neurology; surgery,neurosurgery; neurocritical-care; student-resident-research,2026-10-31,2026-11-04,in-person,Washington,District of Columbia,US,Walter E. Washington Convention Center,38.9042,-77.0229,"Annual scientific meeting of the Congress of Neurological Surgeons covering the full range of neurosurgical subspecialties. It is the 76th edition of the meeting, themed Evolution.",Abstract submission = 2026-05-26; Early registration = 2026-05-31; Advanced registration deadline = 2026-09-30,high,Late-breaking abstract or poster deadline (if any) was not found on the official abstracts page.,https://www.cns.org/annualmeeting; https://www.cns.org/meetings/past-and-future-annual-meetings; https://www.cns.org/annualmeeting/overview; https://www.cns.org/annualmeeting/program/abstracts; https://www.cns.org/annualmeeting/travel-hotel/location
tct-2026,Transcatheter Cardiovascular Therapeutics 2026,TCT 2026,Cardiovascular Research Foundation,https://www.crf.org,https://www.tctconference.com/,cardiology,cardiovascular; interventional,2026-10-31,2026-11-03,in-person,San Diego,California,US,San Diego Convention Center,32.7075,-117.1605,Transcatheter Cardiovascular Therapeutics is the Cardiovascular Research Foundation's annual symposium on interventional cardiovascular medicine. TCT 2026 runs as an in person only meeting at the San Diego Convention Center with no virtual attendance option.,,medium,"Exact abstract/late-breaking submission deadline dates for TCT 2026 could not be located on accessible pages; the CRF Call for Science and tctconference.com pages state submissions are closed without listing the closing date, and an NCDR calendar listed the date as TBD. Conference dates and location are confirmed via an official CRF/EurekAlert press release.",https://www.eurekalert.org/news-releases/1121447; https://www.tctconference.com/topics-categories-guidelines; https://www.crf.org/tct-post-2/call-for-science
apha-annual-2026,APHA Annual Meeting and Expo 2026,APHA 2026,American Public Health Association,https://www.apha.org,https://www.apha.org/events-and-meetings/apha-calendar/2026-apha-annual-meeting-and-expo,public-health,public-health; epidemiology; community,2026-11-01,2026-11-04,in-person,San Antonio,Texas,US,Henry B. Gonzalez Convention Center,29.4247,-98.4894,"The American Public Health Association holds its 2026 Annual Meeting and Expo in San Antonio, Texas. The meeting brings together public health professionals to present research and network across all areas of public health practice.",Early registration = 2026-07-14; Advance registration = 2026-09-15; Late registration = 2026-10-29,high,"General call for abstracts has already closed for 2026 (notifications sent June 2, 2026); late breaker submissions remain open per section with no centralized deadline published.",https://www.apha.org/events-and-meetings/apha-calendar/2026-apha-annual-meeting-and-expo; https://www.apha.org/events-and-meetings/annual/registration-information; https://www.apha.org/events-and-meetings/annual/presenters/late-breakers-reviewers-and-moderators
aasld-liver-meeting-2026,AASLD The Liver Meeting 2026,The Liver Meeting 2026,American Association for the Study of Liver Diseases,https://www.aasld.org,https://www.aasld.org/tlm-26/home,gastroenterology,hepatology; clinical-trials,2026-11-05,2026-11-09,,Denver,Colorado,US,Colorado Convention Center,39.7439,-104.9942,"The Liver Meeting is the American Association for the Study of Liver Diseases' annual scientific meeting on hepatology. The 2026 meeting is held in Denver, Colorado, beginning one day earlier than usual to accommodate the Diwali holiday.",Case report and academic debate submission = 2026-08-31; Early registration = 2026-08-26,medium,"The standard scientific abstract submission deadline, distinct from case reports and academic debate applications, was not found on the fetched page and should be verified directly with AASLD; it is typically earlier in the summer. No 2027 Liver Meeting information was found.",https://www.aasld.org/tlm-26/home
nei-congress-2026,NEI Fall Congress 2026,NEI Congress 2026,Neuroscience Education Institute,https://www.neiglobal.com/,https://www.neiglobal.com/Congress/CNGOverview/tabid/147/Default.aspx,psychiatry,psychopharmacology; neuroscience; general-psychiatry,2026-11-05,2026-11-08,hybrid,Colorado Springs,Colorado,US,The Broadmoor,38.7913,-104.8486,"The annual psychopharmacology congress of the Neuroscience Education Institute, offered in person at The Broadmoor and online, with up to 32 CME credits. Pre conference programs begin November 4 and the scientific poster session is held November 7, 2026.",Poster abstract submission deadline = 2026-08-03,high,"The poster deadline has passed. No 2027 Fall Congress dates are published; NEI lists a 2027 Spring Congress on May 21 to 23, 2027 in Florida. Registration fee tiers and deadlines were not visible on the registration page.",https://www.neiglobal.com/Congress/CNGOverview/tabid/147/Default.aspx; https://www.neiglobal.com/Congress/CNGAbout/tabid/627/Default.aspx; https://www.neiglobal.com/Congress/CNGPosterSession/tabid/159/Default.aspx; https://www.neiglobal.com/Congress/CNGRegDetails/tabid/154/Default.aspx
aamc-learn-serve-lead-2026,Learn Serve Lead 2026: The AAMC Annual Meeting,AAMC Learn Serve Lead 2026,Association of American Medical Colleges,https://www.aamc.org,https://www.aamc.org/learn-network/learn-serve-lead,medical-education,medical-education; education,2026-11-06,2026-11-10,in-person,Anaheim,California,US,,33.8366,-117.9143,"The Association of American Medical Colleges holds Learn Serve Lead, its annual meeting, in Anaheim, California in 2026. The meeting covers medical education, research, and leadership across academic medicine, marking the AAMC's 150th anniversary.",Abstract submission = 2025-12-01,high,The medical education abstract submission deadline for 2026 has already passed.,https://www.aamc.org/learn-network/learn-serve-lead; https://www.conferenceabstracts.com/uploads/documents/26695/2026MedEdCallDRAFTacceptedkatechanges.pdf
acr-convergence-2026,ACR Convergence 2026,ACR Convergence 2026,American College of Rheumatology,https://www.rheumatology.org,https://www.rheumatology.org/annual-meeting,rheumatology,rheumatology; clinical-trials,2026-11-06,2026-11-11,,Orlando,Florida,US,,28.5383,-81.3792,"ACR Convergence is the American College of Rheumatology's annual scientific meeting covering rheumatology research and clinical care. The 2026 meeting is held in Orlando, Florida.",Late-breaking abstract submission = 2026-09-22,medium,"The regular, non-late-breaking abstract submission deadline and the specific venue name were not confirmed on this page; the regular deadline has likely already passed given the meeting is in November. No ACR Convergence 2027 information was searched for.",https://www.rheumatology.org/annual-meeting
aha-scientific-sessions-2026,American Heart Association Scientific Sessions 2026,AHA Scientific Sessions 2026,American Heart Association,https://www.heart.org,https://professional.heart.org/en/meetings/scientific-sessions,cardiology,cardiovascular; clinical-trials,2026-11-06,2026-11-09,,Chicago,Illinois,US,McCormick Place Convention Center,41.8517,-87.6167,Scientific Sessions is the American Heart Association's flagship annual meeting for cardiovascular research and clinical science. The 2026 meeting is held at McCormick Place Convention Center in Chicago.,Abstract submission = 2026-06-08; Late-breaking science submission opens = 2026-06-22; Late-breaking science submission = 2026-08-24; Travel award application = 2026-08-21,high,"professional.heart.org returned HTTP 403 on some direct fetches; dates and deadlines were corroborated across multiple official AHA subpages and search snippets. 2027 edition not included: no official AHA date or city has been published, only an unverified aggregator claim of 'November 2027, location TBD.'",https://professional.heart.org/en/meetings/scientific-sessions/submit-science; https://sessions.hub.heart.org/daily-coverage/article/22954779/save-the-date-and-meet-us-in-chicago; https://exhibitatsessions.org/scientific-sessions/dates-deadlines-forms/; https://professional.heart.org/en/meetings/scientific-sessions/programming/late-breaking-science
uiuc-uic-com-research-forum-2026,University of Illinois College of Medicine 2026 Research Forum,UIC COM Research Forum 2026,"University of Illinois College of Medicine, University of Illinois Chicago",https://medicine.uic.edu,https://medicine.uic.edu/com-research/research-forum/submission-information/,medical-education,uiuc; illinois; medical-education; student-resident-research,2026-11-06,2026-11-06,in-person,Chicago,Illinois,US,"Thompson Rooms, Student Center West",41.8708,-87.6505,"The University of Illinois College of Medicine Research Forum is an annual poster and judging event in Chicago open to medical students, graduate students, postdoctoral fellows, residents, and research faculty across the college. The 2026 forum runs two judging sessions followed by a reception at the Thompson Rooms in Student Center West.",Abstract submission opens = 2026-09-01; Abstract submission deadline = 2026-09-25; Poster printing deadline = 2026-10-16,high,"The prior edition year 2025 date (Jan 24, 2025) is drawn from a search snippet referencing a 2024-2025 annual research forum event page and may reflect an academic year label rather than a calendar year 2025 event; treat that single field with caution.",https://medicine.uic.edu/com-research/research-forum/submission-information/
amia-2026-annual-symposium,AMIA 2026 Annual Symposium,AMIA 2026 Annual Symposium,American Medical Informatics Association,https://amia.org,https://amia.org/education-events/amia-2026-annual-symposium,informatics,informatics,2026-11-07,2026-11-11,in-person,Dallas,Texas,US,Hilton Anatole,32.814,-96.83,"The American Medical Informatics Association holds its 2026 Annual Symposium at the Hilton Anatole in Dallas, Texas. The symposium covers research and practice across biomedical and health informatics.",Manuscript submission = 2026-03-10; High School Scholars application = 2026-09-08; Student volunteer application = 2026-09-08; FHIR App Competition materials submission = 2026-09-30; Hotel reservation = 2026-10-14,medium,"amia.org returns a Cloudflare bot check to automated fetch tools (WebFetch returned HTTP 403 and the browser tool was stuck on a verification page). All dates were confirmed through Google search result snippets that quote the amia.org pages directly, with multiple independent snippets corroborating the Nov 7 to 11, 2026 Dallas dates.",https://amia.org/education-events/amia-2026-annual-symposium; https://amia.org/education-events/amia-2026-annual-symposium/call-participation
isns-illinois-annual-2026,10th Annual Meeting of the Illinois State Neurological Society,ISNS 2026,Illinois State Neurological Society,https://ilstateneuro.org,https://web.cvent.com/event/fc794745-1147-4f7b-9065-5dbaad99f76a/summary,neurology,illinois; education; community,2026-11-07,2026-11-07,,Chicago,Illinois,US,DoubleTree by Hilton Chicago Magnificent Mile,41.8925,-87.6244,"The Illinois State Neurological Society holds its tenth annual meeting on 7 November 2026 at the DoubleTree by Hilton Chicago Magnificent Mile. The one day educational program covers topics including acute ischemic stroke management, pediatric neuromuscular disease, and narcolepsy treatment.",,high,"The URL given in the task prompt (isns.org) belongs to an unrelated organization, the Islamic Society of Northwest Suburbs; the correct official site is ilstateneuro.org, which was used here instead. No abstract or registration deadline dates were found on the event page.",https://web.cvent.com/event/fc794745-1147-4f7b-9065-5dbaad99f76a/summary; https://ilstateneuro.org/
aas-annual-2026,37th International Symposium on the Autonomic Nervous System (American Autonomic Society Annual Meeting 2026),AAS 2026,American Autonomic Society,https://americanautonomicsociety.org,https://americanautonomicsociety.org/meeting/,neurology; neuroscience,autonomic-disorders,2026-11-10,2026-11-14,,San Diego,California,US,Paradise Point Resort & Spa,32.776,-117.231,"The American Autonomic Society Annual Meeting, held as the International Symposium on the Autonomic Nervous System, covers structure, function and disorders of the autonomic nervous system. The 2026 edition is the 37th symposium, featuring plenary lectures, symposium sessions and a poster competition.",Late breaking abstract submission deadline = 2026-09-15; Early registration deadline = 2026-09-15,medium,"The general (non-late-breaking) abstract submission deadline could not be located on the official site. No 2027 American Autonomic Society meeting information has been published yet, so no separate 2027 record was created.",https://americanautonomicsociety.org/meeting/; https://americanautonomicsociety.org/abstract-submission/
aapmr-annual-assembly-2026,2026 AAPM&R Annual Assembly,AAPM&R 2026,American Academy of Physical Medicine and Rehabilitation,https://www.aapmr.org,https://www.aapmr.org/education/annual-assembly,rehabilitation,rehabilitation; education,2026-11-11,2026-11-14,hybrid,Orlando,Florida,US,,28.5384,-81.3789,"The AAPM&R Annual Assembly is the annual scientific meeting of the American Academy of Physical Medicine and Rehabilitation. The 2026 edition takes place in Orlando, Florida from November 11 to 14, with in person and virtual attendance options.",Late-breaking research abstract submission opens = 2026-05-20 (estimated); Late-breaking research abstract submission = 2026-06-24 (estimated); Registration deadline (mail-in and fax; refund cutoff) = 2026-10-13,medium,Venue name within Orlando was not found on the fetched pages. The call-for-abstracts page (2026/call-for-abstracts) returned HTTP 404 on direct fetch; late-breaking abstract window dates are based on a search engine snippet of that page only.,https://www.aapmr.org/docs/default-source/annual-assembly-documents/2025-tote-bag/2026-key-dates.pdf; https://www.aapmr.org/education/annual-assembly/registration; https://www.aapmr.org/education/annual-assembly
aaap-annual-2026,AAAP 37th Annual Meeting and Scientific Symposium 2026,AAAP 2026,American Academy of Addiction Psychiatry,https://www.aaap.org/,https://www.aaap.org/training-events/annual-meeting/2026-annual-meeting-and-scientific-symposium/,psychiatry,addiction; general-psychiatry,2026-11-12,2026-11-15,in-person,Memphis,Tennessee,US,The Peabody Memphis,35.1425,-90.0524,"The annual scientific meeting of the American Academy of Addiction Psychiatry, covering substance use disorders and co occurring psychiatric disorders through symposia, workshops, paper sessions, posters and case conferences.",Early bird registration deadline = 2026-10-01,high,Abstract deadlines have passed and are no longer shown. All presenters must attend in person.,https://www.aaap.org/training-events/annual-meeting/2026-annual-meeting-and-scientific-symposium/; https://aaap.societyconference.com/conference/
abct-2026,ABCT 60th Annual Convention 2026,ABCT 2026,Association for Behavioral and Cognitive Therapies,https://www.abct.org/,https://www.abct.org/2026-convention/,psychiatry,psychotherapy; behavioral; psychology,2026-11-12,2026-11-15,in-person,Baltimore,Maryland,US,Hilton Baltimore Inner Harbor and Baltimore Convention Center,39.2857,-76.6161,"The 60th ABCT Annual Convention takes place in Baltimore under the theme Integrating Compassion and Science. The program includes symposia, panels, clinical round tables, workshops, poster sessions and invited addresses.",Ticketed session submission opens = 2026-01-02; Ticketed session submission = 2026-02-06; General session submission opens = 2026-02-09; General session submission = 2026-03-13; Early registration = 2026-10-16,high,Submission deadlines have passed. No late breaking poster call was found on the ABCT site for 2026.,https://www.abct.org/2026-convention/; https://www.abct.org/convention-ce/annual-conventions/; https://www.abct.org/convention-ce/call-for-papers/; https://www.abct.org/convention-ce/call-for-papers-ticketed-sessions/; https://www.abct.org/2026-convention/registration/
acaai-annual-2026,2026 ACAAI Annual Scientific Meeting,ACAAI 2026,"American College of Allergy, Asthma and Immunology",https://acaai.org,https://annualmeeting.acaai.org/2026/,allergy-immunology,allergy; immunology; education,2026-11-12,2026-11-16,hybrid,Phoenix,Arizona,US,,33.4484,-112.074,"The ACAAI Annual Scientific Meeting is the main scientific conference of the American College of Allergy, Asthma and Immunology. The 2026 edition takes place in Phoenix, Arizona from November 12 to 16, with an in person program and a livestream option.",Research abstract submission opens = 2026-04-01 (estimated); Research abstract submission = 2026-07-13; Medically challenging case abstract submission opens = 2026-04-01 (estimated); Medically challenging case abstract submission = 2026-08-03 (estimated); Late-breaking abstract submission opens = 2026-09-01 (estimated); Late-breaking abstract submission = 2026-10-06; Early registration deadline = 2026-09-14; Livestream registration deadline = 2026-11-11,high,The specific convention center or venue name within Phoenix was not found on any fetched page. A separate regular (non-early) registration deadline distinct from the early registration and livestream cutoffs was not found.,https://annualmeeting.acaai.org/2026/submit_abstract.cfm; https://annualmeeting.acaai.org/2026/registration.cfm; https://annualmeeting.acaai.org/2026/
amersa-2026,AMERSA 50th Annual Conference 2026,AMERSA 2026,Association for Multidisciplinary Education and Research in Substance use and Addiction,https://amersa.org/,https://conference.amersa.org/,psychiatry,addiction; education,2026-11-12,2026-11-14,,Washington,District of Columbia,US,Omni Shoreham Hotel,38.9229,-77.0525,"The 50th AMERSA Annual Conference is held November 12 to 14, 2026 in Washington, DC with preconference activities on November 11. The theme is Stronger Together: Transforming Challenge into Opportunity in Substance Use Care.",Submission site opens = 2026-02-01; Abstract submission = 2026-04-01; Workshop proposal submission = 2026-04-01; Deadline to accept workshop invitation = 2026-05-15; Conference scholarship award application = 2026-05-17; Deadline to accept abstract invitation = 2026-06-15; Early registration = 2026-08-31; Hotel room block = 2026-10-01,high,The 2027 AMERSA conference has not been announced on amersa.org or conference.amersa.org.,https://conference.amersa.org/; https://conference.amersa.org/call-for-abstracts-and-workshops/; https://conference.amersa.org/attendees-information-page/; https://aapp.org/perspective/2026/03/800428
sno-annual-2026,Society for Neuro-Oncology 31st Annual Meeting and Education Day 2026,SNO 2026,Society for Neuro-Oncology,https://www.soc-neuro-onc.org,https://sno2026.oa-event.com/,neurology; oncology,oncology; cancer-research,2026-11-12,2026-11-15,,Philadelphia,Pennsylvania,US,Pennsylvania Convention Center,39.9553,-75.1606,"The SNO Annual Meeting is a multidisciplinary conference on neuro-oncology research, diagnosis and treatment, expecting more than 3000 attendees from over 40 countries. Accepted abstracts are published in the journal Neuro-Oncology.",Regular abstract submission deadline = 2026-05-26; Late-breaking abstract placeholder submission deadline = 2026-05-26; Late-breaking abstract final submission deadline = 2026-09-04; Early bird registration deadline = 2026-09-11; Presenter registration deadline = 2026-09-18,high,Format (in-person vs hybrid) not stated on the pages reviewed. Early bird registration deadline (2026-09-11) is one day after this data was compiled.,https://www.soc-neuro-onc.org/meetings-education/sno-annual-meetings; https://sno2026.oa-event.com/submit; https://sno2026.oa-event.com/registration
ssa-annual-2026,Society for the Study of Addiction Annual Conference 2026,SSA 2026,Society for the Study of Addiction,https://www.addiction-ssa.org,https://www.addiction-ssa.org/news/guide-to-attending-the-2026-annual-conference/,addiction-medicine; psychiatry; psychology,addiction; behavioral; international,2026-11-12,2026-11-13,,Newcastle upon Tyne,England,GB,"Crowne Plaza Newcastle, Stephenson Quarter",54.9738,-1.6046,"The Society for the Study of Addiction holds its annual conference for UK addiction researchers, policymakers, practitioners and people with lived experience in Newcastle upon Tyne, England.",Early registration = 2026-09-24,high,,https://www.addiction-ssa.org/news/guide-to-attending-the-2026-annual-conference/
obesityweek-2026,ObesityWeek 2026,ObesityWeek 2026,The Obesity Society,https://www.obesity.org,https://obesityweek.org/,endocrinology,obesity,2026-11-14,2026-11-17,in-person,National Harbor,Maryland,US,Gaylord National Resort and Convention Center,38.7799,-77.0148,"ObesityWeek 2026 is the annual conference of The Obesity Society, held at the Gaylord National Resort and Convention Center in National Harbor, Maryland, near Washington, D.C. The program presents clinical and basic science research on obesity and its treatment.",Abstract submission opens = 2026-03-16; Abstract submission = 2026-04-27; Late-breaking abstract submission opens = 2026-06-29; Late-breaking abstract submission = 2026-07-22; Early registration = 2026-08-24,high,,https://obesityweek.org/key-dates/; https://obesityweek.org/
sfn-neuroscience-2026,Society for Neuroscience Neuroscience 2026,SfN 2026,Society for Neuroscience,https://www.sfn.org/,https://www.sfn.org/meetings/neuroscience-2026,psychiatry,neuroscience; international,2026-11-14,2026-11-18,hybrid,Washington,District of Columbia,US,Walter E. Washington Convention Center,38.9037,-77.0225,"Neuroscience 2026 runs November 14 to 18, 2026, at the Walter E. Washington Convention Center in Washington, DC, with in person and virtual presentation options. Regular abstracts closed June 11, 2026; late breaking abstracts are accepted September 8 to 15, 2026 or until a 2,500 submission cap is reached.",Symposium and session proposals (extended) = 2026-01-26; Abstract submission opens = 2026-05-27; Abstract submission (extended) = 2026-06-11; Advance member registration opens = 2026-07-15; Late breaking abstract submission opens = 2026-09-08; Deadline to switch from virtual only to in person presentation = 2026-09-10; Late breaking abstract submission = 2026-09-15; Registration cancellation for refund = 2026-10-05; Housing reservations close = 2026-11-03,high,Acceptance notifications for regular abstracts were sent in early August 2026. Trainee travel awards were not visible on the pages reviewed.,https://www.sfn.org/meetings/neuroscience-2026/general-information/dates-and-deadlines; https://www.sfn.org/meetings/neuroscience-2026; https://www.sfn.org/meetings/neuroscience-2026/late-breaking-abstracts; https://www.sfn.org/meetings
ctad-2026,19th Clinical Trials on Alzheimer's Disease (CTAD) Conference 2026,CTAD 2026,CTAD Conference (Clinical Trials on Alzheimer's Disease),https://www.ctad-alzheimer.com,https://www.ctad-alzheimer.com/,neurology; geriatrics,dementia; clinical-trials; geriatric,2026-11-16,2026-11-19,in-person,Boston,Massachusetts,US,Boston Park Plaza Hotel,42.351,-71.0706,"CTAD is an annual conference focused exclusively on clinical trials and drug development for Alzheimer's disease. All sessions are held in a single track, bringing together investigators, clinicians, industry scientists and regulators.",Abstract submission opens = 2026-04-15; Abstract submission deadline = 2026-06-02; Late call for abstracts opens = 2026-07-15; Late call abstract submission deadline = 2026-09-03; Registration opens = 2026-04-01; Early registration deadline = 2026-10-01,medium,"The dedicated Important Dates page on the official site returned a 503 error during verification (and again via a text-proxy fetch), so deadline figures rely on the conference homepage only. Time zone for deadlines not specified. Venue confirmed as Boston Park Plaza Hotel via search snippet of the official site's practical-information page.",https://www.ctad-alzheimer.com/; https://www.ctad-alzheimer.com/about-us/important-dates
aclp-annual-2026,ACLP Annual Meeting 2026 (CLP 2026),CLP 2026,Academy of Consultation-Liaison Psychiatry,https://clpsychiatry.org/,https://clpsychiatry.org/annual-meetings/,psychiatry,consultation-liaison; psychosomatic; general-psychiatry,2026-11-18,2026-11-21,in-person,San Diego,California,US,Town and Country Resort,32.768,-117.166,"The annual meeting of the ACLP, the academy for psychiatrists who care for medically ill patients. The 2026 theme is Expanding the Vision of C L Psychiatry: New Roles, New Settings, New Pathways.",Abstract submission deadline (all formats) = 2026-04-01,high,"Registration early bird deadline not found. CLP 2027 dates and location are not published; ACLP has named a 2027 Annual Meeting Committee chair (Michael Marcangelo, MD). The 2027 abstract deadline will probably again fall around April 1, 2027 based on the 2026 pattern.",https://clpsychiatry.org/annual-meetings/; https://clpsychiatry.org/; https://clpsychiatry.org/member-resources/webinars/2026-webinars-february-24/
cpa-annual-conference-2026,Canadian Psychiatric Association 76th Annual Conference 2026,CPA 2026,Canadian Psychiatric Association,https://www.cpa-apc.org/,https://www.cpa-apc.org/annual-conference/,psychiatry,general-psychiatry; international; education,2026-11-18,2026-11-21,in-person,Montreal,Quebec,CA,Le Centre Sheraton Montreal Hotel,45.4979,-73.5714,"The 76th Annual Conference of the Canadian Psychiatric Association takes place at the Centre Sheraton Montreal. Preconference courses run on Wednesday 18 November and the main scientific programme, with keynote plenaries and concurrent sessions, runs from 19 to 21 November 2026.",Abstract submission = 2026-02-02; Early registration = 2026-10-30,high,The cpa-apc.org TLS chain fails automated certificate verification; content was retrieved with verification disabled. Prior edition details were not retrieved.,https://www.cpa-apc.org/annual-conference/; https://www.cpa-apc.org/call-for-abstracts/; https://www.cpa-apc.org/registration-fees/
napcrg-annual-meeting-2026,NAPCRG 54th Annual Meeting,NAPCRG 2026,North American Primary Care Research Group,https://www.napcrg.org,https://napcrg.org/conferences/annual/annualmeeting/,family-medicine; health-services,primary-care; health-services; epidemiology,2026-11-20,2026-11-24,in-person,Toronto,Ontario,CA,Westin Harbour Castle,43.6409,-79.3746,"The NAPCRG 54th Annual Meeting is the yearly research conference of the North American Primary Care Research Group, held at the Westin Harbour Castle in Toronto, Ontario. The program centers on primary care and family medicine research presentations, workshops, and networking sessions.","Call for papers = 2026-04-19; Student, resident, and fellow poster submission opens = 2026-05-10; Student, resident, and fellow poster submission = 2026-07-12",high,,https://www.napcrg.org/conferences/annual/call-for-papers/; https://www.napcrg.org/conferences/future-conferences/
rsna-annual-2026,RSNA 2026 Scientific Assembly and Annual Meeting,RSNA 2026,Radiological Society of North America,https://www.rsna.org,https://www.rsna.org/annual-meeting,radiology; nuclear-medicine,radiology; imaging; education; informatics; oncology,2026-11-29,2026-12-03,hybrid,Chicago,Illinois,US,McCormick Place,41.8531,-87.6121,"The Radiological Society of North America holds its annual Scientific Assembly and Annual Meeting at McCormick Place in Chicago from November 29 to December 3, 2026. The program covers diagnostic radiology and related imaging specialties and offers both in-person and virtual registration.",Abstract submission = 2026-05-06; Early registration deadline (regist) = 2026-10-01,high,No separate onsite or final registration deadline is published; RSNA registration commonly stays open through the meeting. Notification date for abstract acceptance was not found on official pages.,https://www.rsna.org/annual-meeting; https://www.rsna.org/annual-meeting/future-and-past-meetings; https://www.rsna.org/annual-meeting/attendee-resources/pricing-and-registration; https://www.rsna.org/media/press/2026/2652; https://www.rsna.org/annual-meeting/abstract-submission
ahs-scottsdale-2026,2026 Scottsdale Headache Symposium,AHS Scottsdale 2026,American Headache Society,https://americanheadachesociety.org,https://americanheadachesociety.org/events/2026-scottsdale-headache-symposium,neurology,headache; education,2026-12-03,2026-12-06,,Scottsdale,Arizona,US,The Westin Kierland Resort and Spa,33.6193,-111.9257,"The American Headache Society holds its Scottsdale Headache Symposium at the Westin Kierland Resort and Spa in Scottsdale, Arizona, from 3 to 6 December 2026. The symposium offers continuing medical education on the diagnosis and treatment of headache disorders.",Registration cancellation deadline = 2026-11-11,high,No open call for abstracts was found for this symposium; the program appears to be faculty organized rather than abstract driven.,https://americanheadachesociety.org/events/2026-scottsdale-headache-symposium
aes-annual-2026,American Epilepsy Society Annual Meeting 2026,AES 2026,American Epilepsy Society,https://aesnet.org,https://aesnet.org/AES-annual-meeting,neurology,epilepsy; student-resident-research,2026-12-04,2026-12-08,in-person,Denver,Colorado,US,Colorado Convention Center,39.7438,-104.9973,"The American Epilepsy Society holds its annual meeting in Denver, Colorado, from December 4 to 8, 2026. The meeting presents clinical and basic science research on epilepsy along with education programs for clinicians and trainees.",Abstract submission opens = 2026-04-13; Abstract submission = 2026-06-08; Travel award application = 2026-06-08; Early registration deadline = 2026-10-07,high,"Core dates (meeting dates, abstract open/close, early registration) were confirmed by direct WebFetch of official aesnet.org pages. The exact venue name was confirmed only via the Colorado Convention Center's own event listing, not directly on an aesnet.org page, so treat the venue field with slightly lower confidence than the dates. The travel award deadline is inferred to match the abstract submission deadline based on the FAQ page's description of the process, not from an explicit stand-alone published date; format (in person) is inferred from the venue booking and historical pattern of this meeting rather than an explicit statement on aesnet.org.",https://aesnet.org/AES-annual-meeting/general-information/future-meetings; https://aesnet.org/AES-annual-meeting/abstracts/abstract-faqs; https://aesnet.org/AES-annual-meeting/registration-information/registration-rates; https://aesnet.org/AES-annual-meeting/abstracts/abstract-awards; https://denverconvention.com/events/details/aes-2026-annual-meeting
ihi-forum-2026,IHI Forum 2026,IHI Forum 2026,Institute for Healthcare Improvement,https://www.ihi.org,https://events.ihi.org/forum,health-services,quality-safety; health-services,2026-12-06,2026-12-09,in-person,Phoenix,Arizona,US,Phoenix Convention Center,33.4478,-112.0728,"The Institute for Healthcare Improvement holds its 2026 National Forum at the Phoenix Convention Center in Phoenix, Arizona. The Forum covers quality improvement and patient safety in healthcare.",Poster submission = 2026-09-30; Early registration = 2026-09-30,high,"One indexed page snippet referenced an Anaheim Convention Center in connection with the Forum, which appears to be a stale or mismatched cached fragment; all other sources consistently confirm Phoenix, Arizona for the 2026 Forum.",https://events.ihi.org/forum; https://events.ihi.org/forum/location; https://events.ihi.org/forum/present; https://events.ihi.org/forum/fees-and-scholarships
